plate,rodent_uid,blood_sample,blood_sample_id,450,630,450-630,Result,,
5,2_SEI_051,TRUE,167,0.067,0.037,0.03,0.176470588,,negative
5,2_SEI_052,TRUE,168,0.154,0.096,0.058,0.341176471,,negative
5,2_SEI_053,TRUE,169,0.251,0.123,0.128,0.752941176,,negative
5,2_SEI_054,TRUE,170,0.175,0.146,0.029,0.170588235,,negative
5,2_SEI_055,TRUE,171,0.136,0.092,0.044,0.258823529,,negative
5,2_SEI_056,TRUE,172,0.223,0.134,0.089,0.523529412,,negative
5,3_SEI_001,TRUE,173,0.149,0.113,0.036,0.211764706,,negative
5,3_SEI_002,TRUE,174,0.363,0.206,0.157,0.923529412,,equivocal
5,3_SEI_003,TRUE,175,0.335,0.034,0.301,1.770588235,,positive
5,3_SEI_004,TRUE,176,0.123,0.1,0.023,0.135294118,,negative
5,3_SEI_005,TRUE,177,0.144,0.109,0.035,0.205882353,,negative
5,3_SEI_006,TRUE,178,0.237,0.129,0.108,0.635294118,,negative
5,3_SEI_007,TRUE,179,1.001,0.084,0.917,5.394117647,,positive
5,3_SEI_009,FALSE,180,0.143,0.11,0.033,0.194117647,,negative
5,3_SEI_010,TRUE,181,0.184,0.096,0.088,0.517647059,,negative
5,3_SEI_011,TRUE,182,0.248,0.183,0.065,0.382352941,,negative
5,3_SEI_012,TRUE,183,0.168,0.026,0.142,0.835294118,,negative
